"ecopool","pdMoney","TotalPDmoney","TotalCirculation","tick"
1001.3100589000002,120.48681289999999,120.48681289999998,1121.7968718000002,280.0
1001.3100589000002,120.48681289999999,120.48681289999998,1121.7968718000002,281.0
1001.3100589000002,120.48681289999999,120.48681289999999,1121.7968718000002,282.0
1001.3100589000002,120.48681289999999,120.48681289999999,1121.7968718000002,283.0
1001.3100589000002,120.48681289999999,120.48681289999999,1121.7968718000002,284.0
1001.3100589000002,120.48681289999999,120.48681289999999,1121.7968718000002,285.0
1001.3100589000002,120.48681289999999,120.4868129,1121.7968718000002,286.0
1001.3100589000002,120.48681289999999,120.4868129,1121.7968718000002,287.0
1001.3100589000002,120.48681289999999,120.4868129,1121.7968718000002,288.0
994.3100589000002,127.48681289999999,127.4868129,1121.7968718000002,289.0
994.3100589000002,127.48681289999999,127.4868129,1121.7968718000002,290.0
994.3100589000002,127.48681289999999,127.4868129,1121.7968718000002,291.0
994.3100589000002,127.48681289999999,127.4868129,1121.7968718000002,292.0
994.3100589000002,127.48681289999999,127.4868129,1121.7968718000002,293.0
994.3100589000002,127.48681289999999,127.4868129,1121.7968718000002,294.0
994.3100589000002,127.48681289999999,127.4868129,1121.7968718000002,295.0
994.3100589000002,127.48681289999999,127.4868129,1121.7968718000002,296.0
994.3100589000002,127.48681289999999,127.4868129,1121.7968718000002,297.0
994.3100589000002,126.78681289999999,126.78681289999999,1121.0968718000001,298.0
994.3100589000002,126.78681289999999,126.78681289999999,1121.0968718000001,299.0
994.3100589000002,126.78681289999999,126.78681289999999,1121.0968718000001,300.0
1000.4885130000001,126.85470799999999,126.85470799999999,1127.343221,301.0
1000.4885130000001,126.13470799999999,126.13470799999999,1126.623221,302.0
1000.4885130000001,126.13470799999999,126.13470799999999,1126.623221,303.0
1000.4885130000001,126.13470799999999,126.13470799999999,1126.623221,304.0
1000.4885130000001,126.13470799999999,126.13470799999999,1126.623221,305.0
1000.4885130000001,126.13470799999999,126.13470799999997,1126.623221,306.0
1000.4885130000001,126.13470799999999,126.13470799999997,1126.623221,307.0
1000.4885130000001,126.13470799999999,126.13470799999997,1126.623221,308.0
1000.4885130000001,126.13470799999999,126.13470799999997,1126.623221,309.0
1000.4885130000001,125.33470799999999,125.334708,1125.823221,310.0
1000.4885130000001,125.33470799999999,125.334708,1125.823221,311.0
1000.4885130000001,125.33470799999999,125.334708,1125.823221,312.0
1000.4885130000001,125.33470799999999,125.334708,1125.823221,313.0
1000.4885130000001,124.63470799999999,124.63470799999997,1125.123221,314.0
1000.4885130000001,124.63470799999999,124.63470799999997,1125.123221,315.0
1000.4885130000001,124.63470799999999,124.63470799999997,1125.123221,316.0
1000.4885130000001,124.63470799999999,124.63470799999997,1125.123221,317.0
1000.4885130000001,124.63470799999999,124.63470799999997,1125.123221,318.0
1000.4885130000001,124.63470799999999,124.63470799999997,1125.123221,319.0
1000.4885130000001,124.63470799999999,124.63470799999997,1125.123221,320.0
1000.4885130000001,124.63470799999999,124.63470799999997,1125.123221,321.0
1000.4885130000001,124.63470799999999,124.63470799999999,1125.123221,322.0
1000.4885130000001,124.63470799999999,124.63470799999999,1125.123221,323.0
1000.4885130000001,124.63470799999999,124.63470799999999,1125.123221,324.0
1000.4885130000001,124.63470799999999,124.63470799999999,1125.123221,325.0
1000.4885130000001,124.63470799999999,124.63470799999999,1125.123221,326.0
1000.4885130000001,124.63470799999999,124.63470799999999,1125.123221,327.0
992.4885130000001,132.63470800000002,132.634708,1125.123221,328.0
992.4885130000001,132.63470800000002,132.634708,1125.123221,329.0
992.4885130000001,131.98670800000002,131.98670799999996,1124.4752210000001,330.0
992.4885130000001,131.98670800000002,131.98670799999996,1124.4752210000001,331.0
992.4885130000001,131.98670800000002,131.98670799999996,1124.4752210000001,332.0
992.4885130000001,131.98670800000002,131.98670799999996,1124.4752210000001,333.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,334.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,335.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,336.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,337.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,338.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,339.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,340.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,341.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,342.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,343.0
